,POINTID,YEAR,MONTH,DISCHRG
1973-01-01,1167.0,1973.0,1.0,1336.0
1973-02-01,1167.0,1973.0,2.0,1450.0
1973-03-01,1167.0,1973.0,3.0,1609.0
1973-04-01,1167.0,1973.0,4.0,1523.0
1973-05-01,1167.0,1973.0,5.0,1922.0
1973-06-01,1167.0,1973.0,6.0,2507.0
1973-07-01,1167.0,1973.0,7.0,2591.0
1973-08-01,1167.0,1973.0,8.0,2344.0
1973-09-01,1167.0,1973.0,9.0,1647.0
1973-10-01,1167.0,1973.0,10.0,1418.0
1973-11-01,1167.0,1973.0,11.0,1520.0
1973-12-01,1167.0,1973.0,12.0,1359.0
1974-01-01,1167.0,1974.0,1.0,1008.0
1974-02-01,1167.0,1974.0,2.0,1570.0
1974-03-01,1167.0,1974.0,3.0,1661.0
1974-04-01,1167.0,1974.0,4.0,1577.0
1974-05-01,1167.0,1974.0,5.0,1919.0
1974-06-01,1167.0,1974.0,6.0,2480.0
1974-07-01,1167.0,1974.0,7.0,2557.0
1974-08-01,1167.0,1974.0,8.0,2277.0
1974-09-01,1167.0,1974.0,9.0,1550.0
1974-10-01,1167.0,1974.0,10.0,1441.0
1974-11-01,1167.0,1974.0,11.0,1543.0
1974-12-01,1167.0,1974.0,12.0,1276.0
1975-01-01,1167.0,1975.0,1.0,1131.0
1975-02-01,1167.0,1975.0,2.0,1533.0
1975-03-01,1167.0,1975.0,3.0,1653.0
1975-04-01,1167.0,1975.0,4.0,1608.0
1975-05-01,1167.0,1975.0,5.0,1874.0
1975-06-01,1167.0,1975.0,6.0,2372.0
1975-07-01,1167.0,1975.0,7.0,2408.0
1975-08-01,1167.0,1975.0,8.0,2075.0
1975-09-01,1167.0,1975.0,9.0,1496.0
1975-10-01,1167.0,1975.0,10.0,1344.0
1975-11-01,1167.0,1975.0,11.0,1404.0
1975-12-01,1167.0,1975.0,12.0,1247.0
1976-01-01,1167.0,1976.0,1.0,1275.0
1976-02-01,1167.0,1976.0,2.0,1390.0
1976-03-01,1167.0,1976.0,3.0,1460.0
1976-04-01,1167.0,1976.0,4.0,1485.0
1976-05-01,1167.0,1976.0,5.0,1770.0
1976-06-01,1167.0,1976.0,6.0,2420.0
1976-07-01,1167.0,1976.0,7.0,2465.0
1976-08-01,1167.0,1976.0,8.0,2175.0
1976-09-01,1167.0,1976.0,9.0,1540.0
1976-10-01,1167.0,1976.0,10.0,1495.0
1976-11-01,1167.0,1976.0,11.0,1505.0
1976-12-01,1167.0,1976.0,12.0,1485.0
1977-01-01,1167.0,1977.0,1.0,1495.0
1977-02-01,1167.0,1977.0,2.0,1540.0
1977-03-01,1167.0,1977.0,3.0,1715.0
1977-04-01,1167.0,1977.0,4.0,1600.0
1977-05-01,1167.0,1977.0,5.0,1840.0
